anio,trimestre,provincia,accesos_100_hab,accesos_100_hog
2019,3,La Pampa,17.92,54.38
2019,3,La Rioja,7.59,28.52
2019,3,Mendoza,11.44,40.98
2019,3,Misiones,7.67,28.16
2019,3,Neuquén,12.23,41.09
2019,3,Río Negro,12.74,41.41
2019,3,Salta,8.07,33.31
2019,3,San Juan,10.65,41.81
2019,3,San Luis,7.81,27.28
2019,3,Santa Cruz,8.94,30.05
2019,3,Santa Fe,18.44,58.65
2019,3,Santiago del Estero,7.15,28.82
2019,3,Tierra del Fuego,14.8,49.92
2019,3,Tucumán,11.46,46.26
2019,4,Buenos Aires,19.21,58.41
2019,4,CABA,48.12,115.69
2019,4,Catamarca,7.53,29.59
2019,4,Chaco,7.26,27.16
2019,4,Chubut,13.34,43.53
2019,4,Córdoba,15.96,52.13
2019,4,Corrientes,8.07,30.64
2019,4,Entre Ríos,13.89,46.46
2019,4,Formosa,5.86,23.04
2019,4,Jujuy,6.46,25.25
2019,4,La Pampa,20,60.7
2019,4,La Rioja,7.26,27.27
2019,4,Mendoza,11.05,39.6
2019,4,Misiones,7.48,27.47
2019,4,Neuquén,11.98,40.25
2019,4,Río Negro,12.28,39.92
2019,4,Salta,7.84,32.38
2019,4,San Juan,10.37,40.72
2019,4,San Luis,7.49,26.17
2019,4,Santa Cruz,8.44,28.36
2019,4,Santa Fe,18.25,58.05
2019,4,Santiago del Estero,7.03,28.34
2019,4,Tierra del Fuego,14.2,47.91
2019,4,Tucumán,11.13,44.95
2020,1,Buenos Aires,18.65,56.57
2020,1,CABA,47.36,114.02
2020,1,Catamarca,7.18,28.23
2020,1,Chaco,7,26.19
2020,1,Chubut,12.78,41.7
2020,1,Córdoba,15.32,50.03
2020,1,Corrientes,7.84,29.78
2020,1,Entre Ríos,13.52,45.22
2020,1,Formosa,5.73,22.5
2020,1,Jujuy,6.25,24.43
2020,1,La Pampa,19.79,60.06
2020,1,La Rioja,6.91,25.96
2020,1,Mendoza,10.62,38.07
2020,1,Misiones,7.23,26.54
2020,1,Neuquén,11.72,39.37
2020,1,Río Negro,11.86,38.55
2020,1,Salta,7.58,31.29
2020,1,San Juan,10.08,39.59
2020,1,San Luis,7.18,25.08
2020,1,Santa Cruz,8.1,27.21
2020,1,Santa Fe,17.71,56.31
2020,1,Santiago del Estero,6.9,27.79
2020,1,Tierra del Fuego,13.69,46.18
2020,1,Tucumán,10.81,43.63
2020,2,Buenos Aires,14.19,42.94
2020,2,CABA,30.89,74.44
2020,2,Catamarca,8.2,32.25
2020,2,Chaco,6.96,26.03
2020,2,Chubut,12.41,40.5
2020,2,Córdoba,14.83,48.44
2020,2,Corrientes,7.79,29.57
2020,2,Entre Ríos,13.24,44.28
2020,2,Formosa,5.81,22.84
2020,2,Jujuy,7.22,28.24
2020,2,La Pampa,19.71,59.83
2020,2,La Rioja,7.51,28.2
2020,2,Mendoza,10.25,36.73
2020,2,Misiones,7.01,25.73
2020,2,Neuquén,11.47,38.52
2020,2,Río Negro,11.8,38.37
2020,2,Salta,7.38,30.49
2020,2,San Juan,9.89,38.82
2020,2,San Luis,6.96,24.34
2020,2,Santa Cruz,7.72,25.93
2020,2,Santa Fe,17.33,55.1
2020,2,Santiago del Estero,6.84,27.57
2020,2,Tierra del Fuego,13.19,44.5
2020,2,Tucumán,10.8,43.6
2020,3,Buenos Aires,18.4,55.56
2020,3,CABA,46.58,112.41
2020,3,Catamarca,8.08,31.75
2020,3,Chaco,6.84,25.6
2020,3,Chubut,11.75,38.34
2020,3,Córdoba,14.59,47.64
2020,3,Corrientes,7.69,29.22
2020,3,Entre Ríos,13.06,43.69
2020,3,Formosa,5.75,22.6
2020,3,Jujuy,6,23.46
2020,3,La Pampa,19.65,59.65
2020,3,La Rioja,7.46,28.01
2020,3,Mendoza,9.85,35.3
2020,3,Misiones,7.03,25.83
2020,3,Neuquén,11.19,37.6
2020,3,Río Negro,11.38,36.99
2020,3,Salta,7.23,29.84
2020,3,San Juan,9.56,37.54
2020,3,San Luis,6.76,23.62
2020,3,Santa Cruz,7.43,24.97
2020,3,Santa Fe,17.63,56.08
2020,3,Santiago del Estero,6.77,27.28
2020,3,Tierra del Fuego,12.39,41.79
2020,3,Tucumán,10.72,43.26
2020,4,Buenos Aires,18.35,55.28
2020,4,CABA,46.28,111.79
2020,4,Catamarca,8.04,31.61
2020,4,Chaco,6.71,25.09
2020,4,Chubut,11.72,38.22
2020,4,Córdoba,14.17,46.28
2020,4,Corrientes,7.59,28.81
2020,4,Entre Ríos,12.87,43.03
2020,4,Formosa,5.61,22.04
2020,4,Jujuy,5.9,23.07
2020,4,La Pampa,19.64,59.6
2020,4,La Rioja,7.41,27.82
2020,4,Mendoza,9.83,35.21
2020,4,Misiones,6.77,24.85
2020,4,Neuquén,11.17,37.52
2020,4,Río Negro,11.25,36.56
2020,4,Salta,7.1,29.3
2020,4,San Juan,9.54,37.44
2020,4,San Luis,6.74,23.55
2020,4,Santa Cruz,7.37,24.78
2020,4,Santa Fe,16.7,53.1
2020,4,Santiago del Estero,6.75,27.21
2020,4,Tierra del Fuego,12.31,41.53
2020,4,Tucumán,10.65,42.99
2021,1,Buenos Aires,18.32,55.58
2021,1,CABA,45.39,109.28
2021,1,Catamarca,6.42,25.24
2021,1,Chaco,6.32,23.63
2021,1,Chubut,11.87,38.72
2021,1,Córdoba,13.98,45.65
2021,1,Corrientes,7.06,26.79
2021,1,Entre Ríos,12.19,40.77
2021,1,Formosa,5.18,20.35
2021,1,Jujuy,5.59,21.87
2021,1,La Pampa,19.91,60.42
2021,1,La Rioja,6.19,23.25
2021,1,Mendoza,9.9,35.47
2021,1,Misiones,6.53,23.98
2021,1,Neuquén,11.25,37.8
2021,1,Río Negro,11.1,36.1
2021,1,Salta,6.78,28.01
2021,1,San Juan,9.61,37.74
2021,1,San Luis,6.8,23.77
2021,1,Santa Cruz,7.43,24.95
2021,1,Santa Fe,16.16,51.4
2021,1,Santiago del Estero,6.38,25.69
2021,1,Tierra del Fuego,12.54,42.3
